date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:05	6353/6353	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:02%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/um.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/um.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:06	5654/5654	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:46%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/um.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/um.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:06	6200/6200	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:00%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/us.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/us.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:06	5474/5474	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:44%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/us.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/us.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:07	1769/1769	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:00%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/uy.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/uy.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:07	1774/1774	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:44%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/uy.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/uy.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:07	1495/1495	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:02%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/uz.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/uz.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:08	1517/1517	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:42%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/uz.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/uz.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:09	114528/114528	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:58%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/va.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/va.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:09	520/520	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:58%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vc.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vc.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:10	585/585	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:42%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vc.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vc.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:10	113867/113867	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:48%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/va.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/va.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:10	1205/1205	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:45:00%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/ve.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/ve.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:10	1233/1233	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:42%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/ve.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/ve.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:11	34063/34063	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:58%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vg.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vg.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:11	34056/34056	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:42%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vg.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vg.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:11	12177/12177	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vi.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vi.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
